fid,latitude,longitude,radiance
17004679,27.0022,92.7647,0
17004680,27.0022,92.7689,0
17004681,27.0022,92.773,0
17004682,27.0022,92.7772,0
17004683,27.0022,92.7814,0
17004684,27.0022,92.7855,0
17004685,27.0022,92.7897,0
17004686,27.0022,92.7939,0
17004687,27.0022,92.798,0
17004688,27.0022,92.8022,0
17004689,27.0022,92.8064,0
17004690,27.0022,92.8105,0
17004691,27.0022,92.8147,0
17004692,27.0022,92.8189,0
17004693,27.0022,92.823,0
17004694,27.0022,92.8272,0
17004695,27.0022,92.8314,0
17004696,27.0022,92.8355,0
17004697,27.0022,92.8397,0
17004698,27.0022,92.8439,0
17004699,27.0022,92.848,0
17004700,27.0022,92.8522,0
17011685,26.998,92.6522,71
17011686,26.998,92.6564,71
17011687,26.998,92.6605,71
17011688,26.998,92.6647,71
17011689,26.998,92.6689,71
17011690,26.998,92.673,71
17011691,26.998,92.6772,71
17011692,26.998,92.6814,71
17011693,26.998,92.6855,71
17011694,26.998,92.6897,0
17011695,26.998,92.6939,0
17011696,26.998,92.698,0
17011697,26.998,92.7022,0
17011698,26.998,92.7064,0
17011699,26.998,92.7105,0
17011700,26.998,92.7147,0
17011701,26.998,92.7189,0
17011702,26.998,92.723,0
17011703,26.998,92.7272,0
17011704,26.998,92.7314,0
17011705,26.998,92.7355,0
17011706,26.998,92.7397,0
17011707,26.998,92.7439,0
17011708,26.998,92.748,0
17011709,26.998,92.7522,0
17011710,26.998,92.7564,0
17011711,26.998,92.7605,0
17011712,26.998,92.7647,0
17011713,26.998,92.7689,0
17011714,26.998,92.773,0
17011715,26.998,92.7772,0
17011716,26.998,92.7814,0
17011717,26.998,92.7855,0
17011718,26.998,92.7897,0
17011719,26.998,92.7939,0
17011720,26.998,92.798,0
17011721,26.998,92.8022,0
17011722,26.998,92.8064,0
17011723,26.998,92.8105,0
17011724,26.998,92.8147,0
17011725,26.998,92.8189,0
17011726,26.998,92.823,0
17011727,26.998,92.8272,0
17011728,26.998,92.8314,0
17011729,26.998,92.8355,0
17011730,26.998,92.8397,0
17011731,26.998,92.8439,0
17011732,26.998,92.848,0
17011733,26.998,92.8522,0
17011734,26.998,92.8564,0
17011735,26.998,92.8605,0
17011736,26.998,92.8647,0
17011737,26.998,92.8689,0
17011738,26.998,92.873,0
17011739,26.998,92.8772,0
17011740,26.998,92.8814,0
17011741,26.998,92.8855,0
17011742,26.998,92.8897,0
17018718,26.9939,92.6522,0
17018719,26.9939,92.6564,0
17018720,26.9939,92.6605,0
17018721,26.9939,92.6647,0
17018722,26.9939,92.6689,71
17018723,26.9939,92.673,71
17018724,26.9939,92.6772,71
17018725,26.9939,92.6814,71
17018726,26.9939,92.6855,71
17018727,26.9939,92.6897,0
17018728,26.9939,92.6939,0
17018729,26.9939,92.698,0
17018730,26.9939,92.7022,0
17018731,26.9939,92.7064,0
17018732,26.9939,92.7105,0
17018733,26.9939,92.7147,0
17018734,26.9939,92.7189,0
17018735,26.9939,92.723,0
17018736,26.9939,92.7272,0
17018737,26.9939,92.7314,0
17018738,26.9939,92.7355,0
17018739,26.9939,92.7397,0
17018740,26.9939,92.7439,0
17018741,26.9939,92.748,0
17018742,26.9939,92.7522,0
17018743,26.9939,92.7564,0
17018744,26.9939,92.7605,0
17018745,26.9939,92.7647,0
17018746,26.9939,92.7689,0
17018747,26.9939,92.773,0
17018748,26.9939,92.7772,0
17018749,26.9939,92.7814,0
17018750,26.9939,92.7855,0
17018751,26.9939,92.7897,0
17018752,26.9939,92.7939,0
17018753,26.9939,92.798,0
17018754,26.9939,92.8022,0
17018755,26.9939,92.8064,0
17018756,26.9939,92.8105,0
17018757,26.9939,92.8147,0
17018758,26.9939,92.8189,0
17018759,26.9939,92.823,0
17018760,26.9939,92.8272,0
17018761,26.9939,92.8314,0
17018762,26.9939,92.8355,0
17018763,26.9939,92.8397,0
17018764,26.9939,92.8439,0
17018765,26.9939,92.848,0
